Location,Process,Technology,Family,PYield,PrimePass,PrimeFail,PrimeHandle,TotYield,TotPass,TotFail,TotHandle,AvgPASSTime
MDB_Jaguariuna,5GFR1BDTST,ANDROID-MIAMI22,MIAMI22_ROW,96.06,537,22,559,94.41,574,34,608,173
MDB_Jaguariuna,5GFR1BDTST,ANDROID-LONDON23,LONDON23_ROW,94.17,291,18,309,91.62,328,30,358,438
MDB_Jaguariuna,5GFR1BDTST,ANDROID-PENANG5G23,PENANG5G23_LATAM,94.29,33,2,35,82.35,42,9,51,74
MDB_Jaguariuna,5GFR1BDTST,ANDROID-FRONTIER22,FRONTIER22_SUPER,100,2,,2,100,16,,16,196
MDB_Jaguariuna,5GFR1BDTST,***Total***,***Total***,95.36,863,42,905,92.93,960,73,1,033,259
MDB_Jaguariuna,AIR_VENT,ANDROID-LONDON23,INLAY,99.18,361,3,364,98.64,363,5,368,26
MDB_Jaguariuna,AIR_VENT,***Total***,***Total***,99.18,361,3,364,98.64,363,5,368,26
MDB_Jaguariuna,BACKFLASH,ANDROID-VENUS23,VENUS23_SUPER,100,15,,15,100,15,,15,596
MDB_Jaguariuna,BACKFLASH,ANDROID-PENANG5G23,PENANG5G23_LATAM,100,9,,9,100,9,,9,498
MDB_Jaguariuna,BACKFLASH,ANDROID-BORAG22,BORAG22_LATAM,100,4,,4,100,4,,4,705
MDB_Jaguariuna,BACKFLASH,ANDROID-CANCUN23,CANCUN23_BRAZIL,100,4,,4,100,4,,4,322
MDB_Jaguariuna,BACKFLASH,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,100,4,,4,100,4,,4,252
MDB_Jaguariuna,BACKFLASH,***Total***,***Total***,100,36,,36,100,36,,36,515
MDB_Jaguariuna,BRDTEST,ANDROID-CANCUN23,CANCUN23_BRAZIL,98.93,2,301,25,2,326,97.87,2,342,51,2,393,194
MDB_Jaguariuna,BRDTEST,ANDROID-MIAMI22,MIAMI22_ROW,96.77,599,20,619,95.12,643,33,676,286
MDB_Jaguariuna,BRDTEST,ANDROID-LONDON23,LONDON23_ROW,96.61,427,15,442,95.19,455,23,478,127
MDB_Jaguariuna,BRDTEST,ANDROID-PENANG5G23,PENANG5G23_LATAM,97.44,38,1,39,94.44,51,3,54,164
MDB_Jaguariuna,BRDTEST,ANDROID-BORAG22,BORAG22,80,4,1,5,83.33,5,1,6,111
MDB_Jaguariuna,BRDTEST,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,66.67,2,1,3,91.67,11,1,12,187
MDB_Jaguariuna,BRDTEST,ANDROID-FRONTIER22,FRONTIER22_SUPER,100,1,,1,100,4,,4,201
MDB_Jaguariuna,BRDTEST,ANDROID-PENANGPLUS23,PENANGPLUS23_LATAM,0,,,,0,,1,1,
MDB_Jaguariuna,BRDTEST,***Total***,***Total***,98.17,3,372,63,3,435,96.88,3,511,113,3,624,201
MDB_Jaguariuna,CFC,ANDROID-PENANG5G23,PENANG5G23_LATAM,99.54,1,943,9,1,952,99.55,1,972,9,1,981,753
MDB_Jaguariuna,CFC,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,98.96,1,806,19,1,825,98.86,1,828,21,1,849,736
MDB_Jaguariuna,CFC,ANDROID-CANCUN23,CANCUN23_BRAZIL,99.32,1,763,12,1,775,99.27,1,779,13,1,792,627
MDB_Jaguariuna,CFC,ANDROID-BORAG22,BORAG22_LATAM,99.79,953,2,955,99.17,961,8,969,1,005
MDB_Jaguariuna,CFC,ANDROID-MIAMI22,MIAMI22_ROW,98.62,927,13,940,98.42,937,15,952,759
MDB_Jaguariuna,CFC,ANDROID-LONDON23,LONDON23_ROW,96.12,248,10,258,95.82,252,11,263,696
MDB_Jaguariuna,CFC,ANDROID-VENUS23,VENUS23_SUPER,100,108,,108,100,122,,122,648
MDB_Jaguariuna,CFC,***Total***,***Total***,99.17,7,748,65,7,813,99.03,7,851,77,7,928,749
MDB_Jaguariuna,DEPTHCAL,ANDROID-BORAG22,BORAG22_LATAM,99.60,502,2,504,99.42,515,3,518,39
MDB_Jaguariuna,DEPTHCAL,ANDROID-MIAMI22,MIAMI22_ROW,100,369,,369,100,372,,372,47
MDB_Jaguariuna,DEPTHCAL,ANDROID-LONDON23,LONDON23_ROW,100,317,,317,100,378,,378,22
MDB_Jaguariuna,DEPTHCAL,ANDROID-VENUS23,VENUS23_SUPER,100,167,,167,100,178,,178,31
MDB_Jaguariuna,DEPTHCAL,ANDROID-RHODE4G22,RHODE4G22_LATAM,0,,,,100,1,,1,46
